0,0,0,0,4,0
0,1,0,0,5,0
3,0,0,0,26,1
2,1,0,0,11,0
1,1,0,0,19,0
0,2,0,0,31,0
0,1,0,0,6,0
2,1,1,0,36,0
4,0,0,0,32,0
4,1,0,0,16,1
2,0,0,0,17,1
9,0,1,0,57,1
0,0,1,0,14,1
1,0,0,0,11,0
1,0,0,0,10,1
0,0,0,0,18,1
1,1,0,0,14,0
0,1,0,0,5,1
5,0,0,0,40,1
4,4,0,0,46,1
0,2,0,0,10,0
2,0,0,0,36,0
1,0,0,0,10,0
1,1,0,0,15,0
3,1,0,0,21,1
5,1,0,0,44,1
2,0,0,0,20,1
2,2,0,0,17,0
0,0,0,0,5,1
0,1,0,0,9,0
0,1,0,0,11,0
2,0,0,0,10,1
1,0,0,0,12,0
0,3,0,0,24,0
1,0,0,0,4,0
1,2,0,0,28,0
9,0,0,0,33,1
4,0,0,0,36,1
3,0,0,0,10,1
5,2,0,0,30,1
2,0,0,0,27,0
3,0,0,0,8,1
0,3,1,0,17,1
3,1,0,0,21,0
1,0,0,0,10,1
0,3,0,0,18,0
0,1,1,0,14,0
0,1,0,0,17,0
2,0,0,0,9,1
1,0,0,0,18,1
7,0,0,0,20,1
0,4,1,0,49,0
0,1,0,0,19,1
0,0,0,0,12,1
4,0,0,0,33,1
0,1,0,0,24,0
1,0,0,0,3,1
3,0,0,0,40,1
4,0,0,0,24,1
1,0,0,0,10,0
0,2,0,0,36,0
2,1,0,0,30,0
0,0,1,0,20,1
0,1,0,0,9,1
0,1,0,0,5,0
1,0,0,0,10,1
0,2,0,0,15,0
0,0,0,0,3,0
0,1,0,0,3,0
1,2,0,0,16,0
1,1,0,0,11,0
1,3,0,0,25,0
1,0,0,0,22,0
5,0,0,0,36,1
3,3,0,0,42,1
0,1,0,0,11,0
0,1,0,0,13,0
1,1,0,0,13,1
1,1,0,0,9,0
1,1,0,0,22,0
1,0,0,0,4,1
0,0,0,0,3,0
0,1,1,0,4,0
0,1,0,0,10,0
1,2,0,0,10,0
3,1,0,0,21,1
1,0,0,0,7,0
4,2,0,0,37,1
1,11,0,0,44,0
0,0,0,0,3,1
2,1,0,0,15,0
2,1,0,0,14,0
1,0,0,0,8,0
6,1,1,0,27,0
2,0,0,0,16,0
3,1,0,0,20,1
1,0,0,0,4,0
0,1,0,0,6,0
1,0,1,0,15,0
1,1,0,0,24,1
3,3,0,0,28,0
2,0,0,0,31,1
3,0,0,0,28,1
3,1,0,0,29,1
1,0,0,0,7,1
4,3,0,0,52,1
1,0,0,0,3,1
2,0,0,0,7,1
6,0,0,0,21,1
2,5,0,0,49,0
2,8,0,0,52,0
